UAL;Age;Injection;Hydrolysis;Station;specimen_no;depth (cm);max. depth (cm);5 cm group (cm);taxon;Outlier;Contamination;Replicate;ageMedian;ageYng;ageOld;Asp_DL;Glu_DL;DL_Ser;DL_Ala;DL_Val;DL_Phe;DL_Ile;DL_Leu;L-Ser/     L-Asp;[Asp];[Glu];[Ser];[Ala];[Val];[Phe];[Ile];[Leu];[total];L Asp;D Asp;L Glu;D Glu;L Ser;D Ser;Gly;L Ala;L hArg;D Ala;L Val;D Val;L Phe;L Ile;D Phe;L Leu;D aIle;D Leu;Valve
11856;11;2ul10;6;Pan M28;Pan M28-0-2-022;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.058;0.027;0.050;0.030;0.008;0.024;0.020;0.023;0.4;1243;502;443;452;746;145;327;299;4156;1844;108;768;21;663;33;3130;689;314;21;1162;10;222;504;5;459;10;11;left
11857;176;2ul10;6;Pan M28;Pan M28-0-2-023;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.115;0.036;0.077;0.038;0.009;0.016;0.010;0.011;0.4;823;336;305;337;202;92;111;139;2346;1091;126;480;17;419;32;1076;480;296;18;296;3;133;163;2;203;2;2;left
11858;198;2ul10;6;Pan M28;Pan M28-0-2-024;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.119;0.030;0.065;0.041;0.028;0.037;0.096;0.030;0.4;2393;1111;891;967;833;338;489;526;7548;17369;2068;8763;261;6800;441;17103;7544;1625;308;6582;182;2651;3620;98;4149;349;125;left
11859;NA;2ul10;6;Pan M28;Pan M28-0-2-025;0-2;2;4;Corbula gibba;outlier;High L-Ser/L-Asp, High DL Leu;;NA;NA;NA;0.040;0.023;0.011;0.028;0.006;0.012;0.011;0.041;1.0;4471;4132;4257;2584;1828;1407;1206;1922;21807;4936;197;4639;105;4833;54;10030;2885;230;81;2087;12;1597;1370;19;2118;15;88;double
11890;56;2ul10;6;Pan M28;Pan M28-10-12-001;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.084;0.032;0.078;0.028;0.007;0.031;0.009;0.023;0.6;4332;2628;2557;2504;2346;856;1113;1241;17575;19279;1611;12275;396;11437;895;24679;11751;965;326;11232;81;4001;5318;125;5850;48;133;right
11891;61;2ul10;6;Pan M28;Pan M28-10-12-002;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.086;0.029;0.094;0.049;0.008;0.050;0.008;0.027;0.4;3333;1951;1473;1296;1050;404;522;716;10744;15086;1301;9319;272;6619;624;9288;6074;983;298;5123;39;1891;2545;95;3429;21;91;right
11892;70;2ul10;6;Pan M28;Pan M28-10-12-003;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.089;0.029;0.086;0.037;0.008;0.012;0.011;0.015;0.4;7375;3525;2771;2882;2210;932;1037;1381;22114;7754;690;3921;115;2922;251;4935;3182;229;118;2511;19;1055;1174;13;1559;13;23;right
11893;39;2ul10;6;Pan M28;Pan M28-10-12-004;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.077;0.029;0.079;0.039;0.009;0.030;0.013;0.017;0.4;5002;2792;2125;2004;2187;624;1038;1132;16905;5680;439;3321;96;2409;191;5283;2360;245;93;2653;23;742;1253;22;1363;17;23;right
11894;NA;2ul10;6;Pan M28;Pan M28-10-12-005;10-12;12;12;Corbula gibba;outlier;Asp DL-Glu DL;;NA;NA;NA;0.076;0.045;0.065;0.046;0.008;0.013;0.017;0.017;0.4;7333;3442;2801;2792;2114;1160;1271;1474;22386;7515;569;3632;163;2899;189;5192;2943;221;136;2313;18;1262;1379;17;1599;23;27;right
11895;73;2ul10;6;Pan M28;Pan M28-10-12-006;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.090;0.029;0.094;0.044;0.007;0.054;0.008;0.025;0.5;3673;2069;1681;1455;1602;443;768;827;12518;16975;1525;10131;289;7738;729;16444;7017;1007;310;8014;55;2117;3836;115;4064;30;100;right
